Dipterocarpus	Dipterocarpoideae	genus	龙脑香属
Magnolia	Magnoliaceae	genus	木蘭屬
Annonoideae	Annonaceae	subfamilia	番荔枝亚科
Annoneae	Annonoideae	tribus	番荔枝族
Annona	Annoneae	genus	番荔枝属
Calamoideae	Arecaceae	subfamilia	省藤亚科
Ceroxyloideae	Arecaceae	subfamilia	蜡椰亚科
Calameae	Calamoideae	tribus	省藤族
Caryoteae	Coryphoideae	tribus	鱼尾葵族
Ceroxyleae	Ceroxyloideae	tribus	蜡椰族
Chamaedoreeae	Arecoideae	tribus	竹节椰族
Chuniophoeniceae	Coryphoideae	tribus	琼棕族
Eugeissoneae	Calamoideae	tribus	鳞皮椰属
Euterpeae	Arecoideae	tribus	纤叶椰族
Geonomateae	Arecoideae	tribus	苇椰族
Iriarteeae	Arecoideae	tribus	根柱椰族
Lepidocaryeae	Calamoideae	tribus	鳞果榈族
Pelagodoxeae	Arecoideae	tribus	珀拉哥椰族
Phoeniceae	Coryphoideae	tribus	刺葵族
Phytelepheae	Ceroxyloideae	tribus	象牙椰族
Sabaleae	Coryphoideae	tribus	箬棕族
Acoelorrhaphe	Livistoneae	genus	沼泽棕属
Ammandra	Phytelepheae	genus	砂蕊象牙椰属
Archontophoenicinae	Areceae	subtribus	假槟榔亚族
Arenga	Caryoteae	genus	桄榔属
Asterogyne	Geonomateae	genus	单叶椰属
Bactridinae	Cocoseae	subtribus	桃果椰亚族
Basseliniinae	Areceae	subtribus	喀里多尼亚椰亚族
Calaminae	Calameae	subtribus	省藤屬
Caryota	Caryoteae	genus	鱼尾葵属
Ceroxylon	Ceroxyleae	genus	蜡椰属
Chamaedorea	Chamaedoreeae	genus	竹节椰属
Chuniophoenix	Chuniophoeniceae	genus	琼棕属
Cyrtostachys	Areceae	genus	猩红椰属
Dictyosperma	Areceae	genus	飓风椰属
Eugeissona	Eugeissoneae	genus	鳞皮椰属
Euterpe	Euterpeae	genus	纤叶椰属
Hyophorbe	Chamaedoreeae	genus	酒瓶椰属
Korthalsiinae	Calameae	subtribus	柯莎藤亚族
Linospadicinae	Areceae	subtribus	手杖椰亚族
Livistoninae	Livistoneae	subtribus	蒲葵亚族
Mauritiinae	Lepidocaryeae	subtribus	鳞果榈亚族
Metroxylinae	Calameae	subtribus	西谷椰亚族
Oncospermatinae	Areceae	subtribus	尼梆刺椰亚族
Phoenix	Phoeniceae	genus	刺葵属
Phytelephas	Phytelepheae	genus	象牙椰属
Plectocomiinae	Calameae	subtribus	钩叶藤亚族
Ptychospermatinae	Areceae	subtribus	皱籽椰亚族
Raphiinae	Lepidocaryeae	subtribus	酒椰亚族
Ravenea	Ceroxyleae	genus	国王椰属
Sabal	Sabaleae	genus	箬棕属
Salaccinae	Calameae	subtribus	蛇皮果亚族
Socratea	Iriarteeae	genus	高根柱椰属
Sommieria	Pelagodoxeae	genus	白叶椰属
Wallichia	Caryoteae	genus	瓦里棕属
Washingtonia	Livistoneae	genus	丝葵属
Acanthophoenix	Oncospermatinae	genus	刺椰属
Acrocomia	Bactridinae	genus	刺茎椰属
Actinokentia	Archontophoenicinae	genus	叉序椰属
Actinorhytis	Archontophoenicinae	genus	拱叶椰属
Aiphanes	Bactridinae	genus	刺叶椰子属
Archontophoenix	Archontophoenicinae	genus	假槟榔属
Astrocaryum	Bactridinae	genus	星果椰属
Attalea	Attaleinae	genus	直叶榈属
Bactris	Bactridinae	genus	桃果椰属
Balaka	Ptychospermatinae	genus	巴拉卡椰属
Basselinia	Basseliniinae	genus	喀里多尼亚椰属
Butia	Attaleinae	genus	果冻椰子属
Calamus	Calaminae	genus	省藤属
Chamaerops	Rhapidinae	genus	矮棕属
Daemonorops	Arecaceae	genus	黄藤属
Drymophloeus	Ptychospermatinae	genus	木皮椰属
Eleiodoxa	Salaccinae	genus	酸蛇皮果属
Guihaia	Rhapidinae	genus	石山棕属
Jubaea	Attaleinae	genus	智利椰属
Korthalsia	Korthalsiinae	genus	蚁藤属
Lemurophoenix	Dypsidinae	genus	红叶狐猴椰
Licuala	Livistoninae	genus	轴榈属
Linospadix	Linospadicinae	genus	手杖椰属
Livistona	Livistoninae	genus	蒲葵属
Lodoicea	Lataniinae	genus	海椰子属
Marojejya	Dypsidinae	genus	玛瑙椰属
